FullName;Price;Name;ProductionDate;Klm;CubicCapacity;Horsepower;GasType;GearBox;Age
Renault Kangoo '17 Euro 6;10980.0;Renault;2017-11-01;94000.0;1461.0;75.0;Πετρέλαιο;Manual;7
Hyundai i 20 '15  Coupe 1.4 Style full extra;10850.0;Hyundai;2015-09-01;98000.0;1400.0;101.0;Βενζίνη;Manual;9
Renault Clio '18 Limited edition navi;10890.0;Renault;2018-12-01;137000.0;900.0;90.0;Βενζίνη;Manual;6
Ford Transit '18  350 L3 2.0 TDCi Trend FWD;18900.0;Ford;2018-08-01;205000.0;1996.0;131.0;Πετρέλαιο;Manual;6
Hyundai i 20 '16 Euro 6 full extra;10980.0;Hyundai;2016-10-01;99000.0;1100.0;75.0;Πετρέλαιο;Manual;8
Opel Corsa '16 Automatic euro 6 ΟΘΟΝΗ;12750.0;Opel;2016-04-01;62500.0;1400.0;90.0;Βενζίνη;Αυτόματο;8
Ford Fiesta '18 St line;13890.0;Ford;2018-08-01;120000.0;1000.0;125.0;Βενζίνη;Manual;6
Ford Fiesta '15 Euro 6;7990.0;Ford;2015-08-01;92000.0;1242.0;82.0;Βενζίνη;Manual;9
Kia Sportage '22 1.6cc 180ps 7DCT 48V MILD HYBRID TITANIUM;31500.0;Kia;2022-02-01;28500.0;1600.0;180.0;Υβριδικό βενζίνη;Αυτόματο;2
Opel Astra '10 J;6500.0;Opel;2010-01-01;237000.0;1686.0;110.0;Πετρέλαιο;Manual;14
Opel Corsa '15 Full extra Ηλιοροφή/Οθονη;9450.0;Opel;2015-01-01;97000.0;1300.0;95.0;Πετρέλαιο;Manual;9
Fiat Qubo '15 ΑΥΤΟΜΑΤΟ ΜΟΝΑΔΙΚΟ;11500.0;Fiat;2015-11-01;137009.0;1300.0;95.0;Πετρέλαιο;Αυτόματο;9
Ford Fiesta '18;9450.0;Ford;2018-08-01;141000.0;1499.0;86.0;Πετρέλαιο;Manual;6
Mazda MX-5 '99 VVTI;3600.0;Mazda;1999-01-01;202000.0;1600.0;115.0;Βενζίνη;Manual;25
Toyota Auris '13 1.3!!ΕΛΛΗΝΙΚΟ!!ΚΑΙΝΟΥΡΙΟ!!;11400.0;Toyota;2013-03-01;141000.0;1329.0;101.0;Βενζίνη;Manual;11
Hyundai Matrix '04 L;3000.0;Hyundai;2004-01-01;215000.0;1600.0;115.0;Βενζίνη;Manual;20
Jeep Cherokee '00 Xj;12000.0;Jeep;2000-01-01;195000.0;2500.0;120.0;Βενζίνη;Manual;24
Mercedes-Benz A 200 '14;18900.0;Mercedes-Benz;2014-01-01;97000.0;1595.0;156.0;Βενζίνη;Manual;10
Bmw 520 '02;3900.0;Bmw;2002-01-01;185250.0;2171.0;170.0;Βενζίνη;Αυτόματο;22
Hyundai i 20 '13;7800.0;Hyundai;2013-01-01;175000.0;1100.0;75.0;Πετρέλαιο;Manual;11
Volkswagen Eos '07;8000.0;Volkswagen;2007-09-01;167600.0;1598.0;115.0;Βενζίνη;Manual;17
Skoda Octavia '10;10500.0;Skoda;2010-12-01;90000.0;1798.0;1.0;Βενζίνη;Manual;14
Ford Fiesta '12 1.25;6500.0;Ford;2012-03-01;229000.0;1242.0;82.0;Βενζίνη;Manual;12
Ford Fiesta '14 ΜΗΔΕΝΙΚΑ ΤΕΛΗ!ΕΛ/ΚΟ!ΚΑΙΝΟΥΡΙΟ!;8600.0;Ford;2014-09-01;122000.0;1550.0;95.0;Πετρέλαιο;Manual;10
Opel Meriva '11  1.3 CDTI ecoFlex DPF Cosmo;7500.0;Opel;2011-01-01;175000.0;1300.0;95.0;Πετρέλαιο;Manual;13
Opel Astra '07  Twintop cabrio;10000.0;Opel;2007-12-01;70000.0;1800.0;150.0;Βενζίνη;Manual;17
Mazda MX-5 '07 SVP;10000.0;Mazda;2007-11-01;100000.0;1800.0;150.0;Βενζίνη;Manual;17
Bmw 316 '10 E90 LCI;14999.0;Bmw;2010-01-01;139800.0;1600.0;170.0;Βενζίνη;Manual;14
Suzuki Grand Vitara '08 ΕΛ/ΚΟ!NAVI!CAMERA!ΔΕΡΜΑ!ΑΕΡΙΟ!;8200.0;Suzuki;2008-02-01;173000.0;1995.0;140.0;Αέριο(lpg) - βενζίνη;Manual;16
Volkswagen Jetta '08 GT;7999.0;Volkswagen;2008-02-01;177712.0;1390.0;170.0;Βενζίνη;Manual;16
Opel Grandland (X) '19;18700.0;Opel;2019-01-01;89500.0;1600.0;120.0;Πετρέλαιο;Manual;5
Bmw 320 '07 E92;11500.0;Bmw;2007-08-01;218000.0;1995.0;170.0;Βενζίνη;Manual;17
Toyota Yaris '01;3000.0;Toyota;2001-07-01;250000.0;1000.0;68.0;Βενζίνη;Manual;23
Ford Aerostar '22;52000.0;Ford;2022-01-01;365978.0;2000.0;132.0;Βενζίνη;Manual;2
Chevrolet Aveo '09;4000.0;Chevrolet;2009-11-01;170000.0;1206.0;84.0;Βενζίνη;Manual;15
Bmw 320 '07 E92;11500.0;Bmw;2007-08-01;218000.0;1995.0;170.0;Βενζίνη;Manual;17
Toyota Yaris '01;3000.0;Toyota;2001-07-01;250000.0;1000.0;68.0;Βενζίνη;Manual;23
Fiat Seicento '01;1500.0;Fiat;2001-09-01;200000.0;900.0;55.0;Βενζίνη;Manual;23
Toyota Aygo '15 X-CITY!!!ΚΑΙΝΟΥΡΙΟ!!!;7800.0;Toyota;2015-03-01;123000.0;998.0;69.0;Βενζίνη;Manual;9
Volvo S80 '07;4800.0;Volvo;2007-01-01;195250.0;1984.0;185.0;Βενζίνη;Manual;17
Toyota Yaris '19  1.5 Hybrid  EURO 6;14500.0;Toyota;2019-06-01;75900.0;1500.0;100.0;Υβριδικό βενζίνη;Αυτόματο;5
Opel Meriva '11  1.3 CDTI ecoFlex DPF Cosmo;7500.0;Opel;2011-01-01;175000.0;1300.0;95.0;Πετρέλαιο;Manual;13
Audi A4 '09 TDI Άριστο;9800.0;Audi;2009-09-01;276000.0;2000.0;170.0;Πετρέλαιο;Αυτόματο;15
Opel Astra '17 Dynamic;13900.0;Opel;2017-04-01;139960.0;1598.0;136.0;Πετρέλαιο;Manual;7
Mercedes-Benz 320 '02;3200.0;Mercedes-Benz;2002-01-01;320000.0;1400.0;90.0;Βενζίνη;Manual;22
Audi S3 '01 Big turbo;26000.0;Audi;2001-08-01;151700.0;1800.0;700.0;Βενζίνη;Manual;23
Opel Corsa '11 7200 ΓΙΑ ΣΥΜΒΑΤΙΚΟ ΙΧ - 1 ΧΡ.ΕΓΓΥΗΣΗ;6100.0;Opel;2011-11-01;140000.0;1400.0;100.0;Βενζίνη;Manual;13
Opel Meriva '11;7600.0;Opel;2011-01-01;127000.0;1398.0;120.0;Βενζίνη;Manual;13
Mercedes-Benz A 160 '14 18500 ΓΙA AΝΑ/ΚΟ-3ΤΕΚΝΟ-ΠΟ/ΝΟ;19800.0;Mercedes-Benz;2014-09-01;128125.0;1500.0;90.0;Πετρέλαιο;Αυτόματο;10
Opel Corsa '12 SELECTION 6400 ΓΙΑ ΑΝΑ/ΚΟ-3ΤΕΚΝΟ-ΠΟ/ΝΟ;7600.0;Opel;2012-09-01;128730.0;1400.0;87.0;Βενζίνη;Manual;12
Ford Fiesta '14 9400 ΓΙΑ ΣΥΜΒΑΤΙΚΟ ΙΧ- 1 ΧΡ.ΕΓΓΥΗΣΗ;8000.0;Ford;2014-02-01;120475.0;1000.0;100.0;Βενζίνη;Manual;10
Renault Captur '16 14200 ΓΙΑ ΣΥΜΒΑΤΙΚΟ ΙΧ - 1 ΧΡ.ΕΓΓΥΗΣΗ;13300.0;Renault;2016-02-01;74302.0;1200.0;120.0;Βενζίνη;Αυτόματο;8
Dacia Duster '20 Full extra;18500.0;Dacia;2020-02-01;102434.0;1500.0;90.0;Πετρέλαιο;Manual;4
